FID	Number_of	Bee_Family	Bee_Genus	Subgenus	Species	Subspecies	Location_D	Date	Floral_Hos
9930	1	Apidae	Diadasia	 	diminuta	 	Lampstand, 3.3 mi S	9-Sep-03	Sphaeralcea sp.
9931	2	Apidae	Diadasia	 	diminuta	 	Lampstand, 5.0 mi SE	8-Jun-01	Sphaeralcea grossulariifolia
9932	1	Apidae	Diadasia	 	diminuta	 	Lampstand, 5.0 mi SE	8-Jun-01	Sphaeralcea sp.
9933	2	Apidae	Diadasia	 	diminuta	 	Left Hand Collet Cyn, 2.7 mi SE	23-May-00	Hymenopappus filifolius
9934	1	Apidae	Diadasia	 	diminuta	 	Left Hand Collet Cyn, 2.7 mi SE	18-Jun-01	Senecio multilobatus
9935	3	Apidae	Diadasia	 	diminuta	 	Lick Wash	5-Aug-03	No Floral Record
9936	1	Apidae	Diadasia	 	diminuta	 	Little No Man's Mesa, 3.12 mi NW	24-Sep-03	Ericameria nauseosa
9937	2	Apidae	Diadasia	 	diminuta	 	Little No Man's Mesa, 3.12 mi NW	24-Sep-03	Eriogonum sp.
9938	6	Apidae	Diadasia	 	diminuta	 	Little No Man's Mesa, 3.12 mi NW	24-Sep-03	No Floral Record
9939	1	Apidae	Diadasia	 	diminuta	 	Little No Man's Mesa, 3.12 mi NW	20-Aug-03	Viguiera multiflora
9940	4	Colletidae	Hylaeus	(Paraprosopis)	megalotis	 	Long Canyon	14-Sep-00	Eriogonum sp.
9941	13	Colletidae	Hylaeus	(Paraprosopis)	megalotis	 	Long Canyon	18-Aug-00	Eriogonum sp.
9942	1	Colletidae	Hylaeus	(Paraprosopis)	megalotis	 	Long Canyon	31-Aug-00	Eriogonum sp.
9943	1	Colletidae	Hylaeus	(Paraprosopis)	megalotis	 	Long Canyon	18-Aug-00	Gutierrezia sarothrae
9944	1	Colletidae	Hylaeus	(Paraprosopis)	megalotis	 	Long Canyon	1-Sep-03	Melilotus alba
9945	1	Colletidae	Hylaeus	(Paraprosopis)	megalotis	 	Long Canyon	1-Sep-03	No Floral Record
9946	1	Apidae	Diadasia	 	diminuta	 	Long Cyn, 0.8 mi NNW mouth	28-Aug-01	Asteraceae sp. (purple)
9947	1	Apidae	Diadasia	 	diminuta	 	Long Cyn, 0.8 mi NNW mouth	2-Jul-01	Cleome lutea
9948	1	Apidae	Diadasia	 	diminuta	 	Long Cyn, 0.8 mi NNW mouth	2-Jul-01	Melilotus officinalis
9949	1	Apidae	Diadasia	 	diminuta	 	Long Cyn, 0.8 mi NNW mouth	8-Jun-00	Sphaeralcea coccinea
